label,scan_case,clean_case,select_threshold,boundary_layer,n_pix,rmse,median_abs_residual,p95_abs_residual,median_unc
E_same_LST_12days_30deg_step_stacked__threshold_0.02,E_same_LST_12days_30deg_step_stacked,"Same LST, 12 days, 30° step",0.02,7,4,712.1696757910153,560.2270597633236,1037.1009082020507,10.57895258710738
E_same_LST_12days_30deg_step_stacked__threshold_0.01,E_same_LST_12days_30deg_step_stacked,"Same LST, 12 days, 30° step",0.01,0,184,3604.347850210622,2065.1595260812683,7602.7593364986105,93.38118293477595
E_same_LST_12days_30deg_step_stacked__threshold_0.01,E_same_LST_12days_30deg_step_stacked,"Same LST, 12 days, 30° step",0.01,1,100,2896.3191037099145,1734.9003402825374,6103.054777804896,74.21184553362983
E_same_LST_12days_30deg_step_stacked__threshold_0.01,E_same_LST_12days_30deg_step_stacked,"Same LST, 12 days, 30° step",0.01,2,64,1057.8134738092626,472.31285958733474,2477.054497746511,22.27693545543665
E_same_LST_12days_30deg_step_stacked__threshold_0.01,E_same_LST_12days_30deg_step_stacked,"Same LST, 12 days, 30° step",0.01,3,64,476.1012477251073,335.64742228967657,877.8623186122576,14.108525052694368
E_same_LST_12days_30deg_step_stacked__threshold_0.01,E_same_LST_12days_30deg_step_stacked,"Same LST, 12 days, 30° step",0.01,4,64,447.8232378213405,198.71750940543984,948.366630495087,11.771651952717725
E_same_LST_12days_30deg_step_stacked__threshold_0.01,E_same_LST_12days_30deg_step_stacked,"Same LST, 12 days, 30° step",0.01,5,52,352.5168763466863,211.46983737411608,745.569293493811,10.241069845947674
E_same_LST_12days_30deg_step_stacked__threshold_0.01,E_same_LST_12days_30deg_step_stacked,"Same LST, 12 days, 30° step",0.01,6,36,334.29200439191266,165.44181733036078,690.7924141744247,10.046152034651815
E_same_LST_12days_30deg_step_stacked__threshold_0.01,E_same_LST_12days_30deg_step_stacked,"Same LST, 12 days, 30° step",0.01,7,24,604.8538473628339,449.3789082176181,1080.3212489579657,11.065905890099163
E_same_LST_12days_30deg_step_stacked__threshold_0.005,E_same_LST_12days_30deg_step_stacked,"Same LST, 12 days, 30° step",0.005,7,768,2386.0034326394593,727.2472582852924,5179.960395629523,78.88285996445578
G_same_LST_12days_fast_hourly_stacked__threshold_0.1,G_same_LST_12days_fast_hourly_stacked,"Same LST, 12 days, fast hourly",0.1,0,64,894.4693054756947,373.22934536680077,1915.2603262718394,20.98288004955726
G_same_LST_12days_fast_hourly_stacked__threshold_0.1,G_same_LST_12days_fast_hourly_stacked,"Same LST, 12 days, fast hourly",0.1,1,64,396.1546164496917,286.29605363490737,672.2819405716604,12.950588800740997
G_same_LST_12days_fast_hourly_stacked__threshold_0.1,G_same_LST_12days_fast_hourly_stacked,"Same LST, 12 days, fast hourly",0.1,2,64,326.23364865040895,160.6100468750094,651.4715250278612,10.645373452302806
G_same_LST_12days_fast_hourly_stacked__threshold_0.1,G_same_LST_12days_fast_hourly_stacked,"Same LST, 12 days, fast hourly",0.1,3,52,214.55324448164123,94.95161320649902,422.3239622614457,8.560898651877583
G_same_LST_12days_fast_hourly_stacked__threshold_0.1,G_same_LST_12days_fast_hourly_stacked,"Same LST, 12 days, fast hourly",0.1,4,36,213.93822566068025,138.3088102141637,386.84481951385385,8.052940414044295
G_same_LST_12days_fast_hourly_stacked__threshold_0.1,G_same_LST_12days_fast_hourly_stacked,"Same LST, 12 days, fast hourly",0.1,5,20,200.4894939406498,118.93958957145219,359.861818960795,8.70284730846109
G_same_LST_12days_fast_hourly_stacked__threshold_0.1,G_same_LST_12days_fast_hourly_stacked,"Same LST, 12 days, fast hourly",0.1,6,4,436.30370700512316,461.5720775216448,522.5215093290269,7.917458510634965
G_same_LST_12days_fast_hourly_stacked__threshold_0.05,G_same_LST_12days_fast_hourly_stacked,"Same LST, 12 days, fast hourly",0.05,0,64,1343.3483274757373,941.9261513331865,2712.236781503827,35.80743304134772
G_same_LST_12days_fast_hourly_stacked__threshold_0.05,G_same_LST_12days_fast_hourly_stacked,"Same LST, 12 days, fast hourly",0.05,1,64,516.1129165278385,345.6892769178676,993.8153162826269,15.02850693850619
G_same_LST_12days_fast_hourly_stacked__threshold_0.05,G_same_LST_12days_fast_hourly_stacked,"Same LST, 12 days, fast hourly",0.05,2,64,309.8981672126469,227.36188994845634,561.6157881680725,12.22691142550834
G_same_LST_12days_fast_hourly_stacked__threshold_0.05,G_same_LST_12days_fast_hourly_stacked,"Same LST, 12 days, fast hourly",0.05,3,60,248.39636495622403,120.37641334031821,605.5409205410356,9.585594588821152
G_same_LST_12days_fast_hourly_stacked__threshold_0.05,G_same_LST_12days_fast_hourly_stacked,"Same LST, 12 days, fast hourly",0.05,4,44,235.09875139666102,157.15543282524482,471.4909299525472,8.631796275271569
G_same_LST_12days_fast_hourly_stacked__threshold_0.05,G_same_LST_12days_fast_hourly_stacked,"Same LST, 12 days, fast hourly",0.05,5,28,200.12333032769055,109.44797826736976,434.91275992661156,8.469391925712333
G_same_LST_12days_fast_hourly_stacked__threshold_0.05,G_same_LST_12days_fast_hourly_stacked,"Same LST, 12 days, fast hourly",0.05,6,12,306.82349367844995,214.22951602375247,500.7143280431112,8.279787337815097
G_same_LST_12days_fast_hourly_stacked__threshold_0.03,G_same_LST_12days_fast_hourly_stacked,"Same LST, 12 days, fast hourly",0.03,0,64,2222.8649847865177,1577.7034018480686,4716.51931704764,59.065004601966805
